crash_id,place_id
20241115,1
20241125,2
20246013,3
20241002,4
20243185,5
20244016,6
20243168,7
20246003,8
20246001,9
20244081,10
20241087,11
20241054,12
20244042,13
20243246,14
20241101,15
20241216,16
20241300,17
20243007,18
20241278,19
20241149,20
20241068,21
20243273,22
20244020,23
20244055,13
20241094,24
20243160,25
20243209,26
20244001,27
20243243,28
20246016,29
20241119,30
20241169,31
20241291,32
20243036,33
20244026,34
20241077,35
20241028,15
20241022,36
20243015,37
20244023,23
20241098,31
20243114,38
20241040,39
20241174,40
20241088,41
20241255,42
20241053,43
20243046,44
20241080,45
20243044,46
20241274,47
20243176,14
20241181,48
20243110,49
20244044,50
20243147,51
20244019,52
20241194,53
20241139,54
20241197,55
20243220,51
20243267,56
20241057,57
20243174,37
20241166,58
20243213,59
20241096,39
20242089,60
20243073,61
20241027,62
20241163,41
20243143,63
20241222,64
20241218,65
20243249,66
20243098,59
20241306,67
20243037,14
20244083,68
20241196,69
20244028,27
20243038,7
20242023,70
20242230,71
20242127,72
20242120,73
20241106,57
20241230,74
20241055,40
20241267,55
20242260,75
20242057,70
20243153,76
20242161,75
20241236,77
20243172,78
20241188,77
20243191,79
20241256,55
20242019,80
20243008,59
20243001,26
20243041,81
20244021,82
20243113,61
20241107,83
20243022,84
20248002,85
20242088,86
20241173,87
20241004,88
20246004,89
20241201,90
20241029,91
20243005,59
20241261,15
20244024,23
20241215,92
20243186,44
20243208,93
20241134,47
20243040,7
20241263,94
20241302,95
20241147,67
20243248,96
20243096,97
20241150,98
20241247,99
20241234,100
20242110,101
20242052,102
20243247,81
20243144,78
20241235,103
20243087,104
20244061,105
20241009,106
20241072,107
20243129,108
20242219,109
20241219,2
20244010,50
20244040,68
20243171,14
20242075,110
20243079,111
20241045,112
20243017,113
20241160,1
20241081,114
20241135,87
20241209,115
20242140,71
20242142,70
20243107,14
20243020,116
20241151,117
20243158,63
20241286,17
20243102,118
20241303,119
20246029,9
20248005,85
20244018,120
20241060,77
20242022,121
20241037,40
20241257,122
20241128,47
20243089,123
20242181,124
20243082,125
20243150,116
20243170,61
20243239,126
20242040,127
20243084,128
20241030,129
20243127,130
20243003,131
20243266,132
20241042,11
20243121,130
20241175,15
20243072,133
20244057,134
20241091,135
20243201,18
20242135,136
20243225,131
20241167,115
20244060,137
20241268,138
20244013,139
20243235,128
20244059,13
20241266,140
20243131,128
20242080,141
20241287,142
20241152,77
20243161,143
20242042,144
20243210,113
20244025,145
20243088,146
20241211,147
20242007,148
20241204,15
20244062,82
20241137,149
20243117,84
20242081,150
20243206,151
20248003,85
20244032,152
20241153,16
20242138,153
20243198,154
20242107,150
20243080,33
20242204,155
20242139,110
20241103,138
20242129,156
20244027,157
20243006,158
20243108,59
20243212,84
20241237,159
20241052,160
20241308,92
20246027,161
20244072,162
20241195,163
20244043,164
20241102,16
20243194,61
20243070,61
20243165,128
20241063,40
20241132,15
20241292,40
20241189,165
20241233,32
20242115,166
20242167,167
20241016,168
20243234,28
20246025,169
20241220,129
20241034,170
20242012,171
20243009,116
20241269,172
20242093,173
20242176,148
20242255,174
20241066,175
20242175,176
20243207,78
20242029,177
20241246,149
20241078,178
20243064,179
20241013,180
20246019,169
20242257,181
20241138,64
20244014,182
20244069,183
20242053,155
20243111,63
20243067,184
20242186,185
20242250,86
20243167,186
20243106,61
20242098,187
20241179,77
20242070,188
20243261,76
20243227,81
20242243,155
20242102,189
20241109,190
20243187,104
20241301,47
20243135,81
20241248,54
20243268,191
20242071,192
20241020,193
20241294,165
20241304,57
20242123,155
20242144,155
20241199,194
20243066,195
20243233,113
20243203,196
20242209,166
20242056,197
20242130,198
20243109,51
20243010,199
20243181,108
20246018,200
20241071,201
20241186,114
20243078,28
20241223,15
20241221,202
20241143,203
20243242,81
20242189,204
20242170,205
20243043,116
20241140,206
20244063,207
20241131,208
20242172,209
20241111,202
20242055,210
20241017,16
20244067,211
20246024,212
20241254,77
20243011,143
20246011,213
20242177,181
20241127,4
20241210,41
20242132,166
20242184,174
20241253,214
20243024,116
20242224,185
20243031,84
20242069,210
20243156,108
20242251,215
20244034,216
20242090,72
20243231,63
20242194,217
20243142,179
20242043,192
20243124,25
20244007,218
20242060,219
20243104,26
20244041,34
20246026,220
20243021,113
20242155,221
20242032,222
20241285,20
20244066,6
20242064,223
20242164,72
20244035,27
20243018,28
20242086,86
20243217,51
20243251,143
20243058,113
20244046,27
20243085,78
20244039,50
20243240,25
20246002,224
20242099,225
20243063,28
20241176,15
20247022,226
20241086,119
20241224,69
20241265,227
20241202,208
20246023,200
20241293,43
20241299,228
20244078,229
20243164,84
20242201,230
20241307,114
20242074,156
20241243,87
20247034,231
20241260,232
20243004,195
20246014,233
20242024,234
20243169,130
20243081,59
20242169,235
20241110,45
20241082,236
20241159,91
20246022,161
20241229,237
20242026,101
20242268,124
20242238,238
20242122,189
20241046,95
20243192,130
20241032,239
20241031,240
20243254,116
20243133,199
20241203,19
20243118,61
20243173,63
20243199,84
20244003,68
20241298,163
20242112,241
20243092,33
20243042,242
20244005,243
20243178,96
20244050,183
20241208,168
20242259,80
20242212,244
20243019,44
20241036,77
20242226,75
20247007,245
20243074,116
20241003,36
20241277,193
20241249,175
20242020,246
20242108,150
20243120,33
20242187,247
20243116,51
20242133,185
20241092,40
20242121,75
20243214,248
20241118,39
20243157,61
20241190,42
20241097,95
20242265,221
20241250,194
20242200,71
20242234,225
20242048,209
20242003,166
20243252,128
20243061,248
20242162,249
20244071,250
20241047,251
20241205,159
20241024,40
20242096,144
20242240,246
20243139,93
20243075,61
