crash_id,lga_code
20241115,1
20241125,2
20246013,3
20241002,4
20243185,5
20244016,6
20243168,7
20246003,8
20246001,9
20244081,10
20241087,11
20241054,12
20244042,13
20243246,14
20241101,15
20241216,16
20241300,17
20243007,18
20241278,19
20241149,20
20241068,21
20243273,7
20244020,22
20244055,13
20241094,23
20243160,24
20243209,25
20244001,26
20243243,27
20246016,28
20241119,4
20241169,29
20241291,30
20243036,31
20244026,32
20241077,33
20241028,15
20241022,34
20243015,27
20244023,22
20241098,29
20243114,35
20241040,36
20241174,37
20241088,38
20241255,39
20241053,40
20243046,41
20241080,42
20243044,43
20241274,44
20243176,14
20241181,45
20243110,46
20244044,47
20243147,48
20244019,49
20241194,50
20241139,51
20241197,52
20243220,48
20243267,53
20241057,54
20243174,27
20241166,55
20243213,56
20241096,36
20242089,57
20243073,58
20241027,59
20241163,38
20243143,60
20241222,61
20241218,62
20243249,63
20243098,56
20241306,64
20243037,14
20244083,65
20241196,66
20244028,26
20243038,7
20242023,67
20242230,68
20242127,69
20242120,70
20241106,54
20241230,71
20241055,37
20241267,52
20242260,72
20242057,67
20243153,73
20242161,72
20241236,74
20243172,75
20241188,74
20243191,76
20241256,52
20242019,77
20243008,56
20243001,25
20243041,78
20244021,79
20243113,58
20241107,80
20243022,81
20248002,82
20242088,83
20241173,84
20241004,85
20246004,86
20241201,87
20241029,88
20243005,56
20241261,15
20244024,22
20241215,89
20243186,41
20243208,58
20241134,44
20243040,7
20241263,90
20241302,91
20241147,64
20243248,53
20243096,92
20241150,93
20241247,94
20241234,87
20242110,95
20242052,96
20243247,78
20243144,75
20241235,15
20243087,18
20244061,97
20241009,98
20241072,74
20243129,76
20242219,99
20241219,2
20244010,47
20244040,65
20243171,14
20242075,100
20243079,101
20241045,102
20243017,103
20241160,1
20241081,104
20241135,84
20241209,105
20242140,68
20242142,67
20243107,14
20243020,106
20241151,107
20243158,60
20241286,17
20243102,108
20241303,66
20246029,9
20248005,82
20244018,109
20241060,74
20242022,110
20241037,37
20241257,80
20241128,44
20243089,58
20242181,111
20243082,112
20243150,106
20243170,58
20243239,113
20242040,114
20243084,53
20241030,115
20243127,116
20243003,117
20243266,118
20241042,11
20243121,116
20241175,15
20243072,24
20244057,119
20241091,120
20243201,18
20242135,99
20243225,117
20241167,105
20244060,121
20241268,122
20244013,123
20243235,53
20244059,13
20241266,124
20243131,53
20242080,68
20241287,125
20241152,74
20243161,116
20242042,126
20243210,103
20244025,127
20243088,128
20241211,129
20242007,130
20241204,15
20244062,79
20241137,131
20243117,81
20242081,132
20243206,133
20248003,82
20244032,119
20241153,16
20242138,134
20243198,118
20242107,132
20243080,31
20242204,135
20242139,100
20241103,122
20242129,136
20244027,137
20243006,58
20243108,56
20243212,81
20241237,115
20241052,138
20241308,89
20246027,139
20244072,140
20241195,141
20244043,142
20241102,16
20243194,58
20243070,58
20243165,53
20241063,37
20241132,15
20241292,37
20241189,143
20241233,30
20242115,144
20242167,145
20241016,146
20243234,27
20246025,147
20241220,115
20241034,148
20242012,149
20243009,106
20241269,74
20242093,150
20242176,130
20242255,151
20241066,152
20242175,69
20243207,75
20242029,153
20241246,131
20241078,98
20243064,154
20241013,84
20246019,147
20242257,155
20241138,61
20244014,156
20244069,157
20242053,135
20243111,60
20243067,92
20242186,158
20242250,83
20243167,159
20243106,58
20242098,160
20241179,74
20242070,72
20243261,73
20243227,78
20242243,135
20242102,161
20241109,162
20243187,18
20241301,44
20243135,78
20241248,51
20243268,163
20242071,164
20241020,165
20241294,143
20241304,54
20242123,135
20242144,135
20241199,166
20243066,167
20243233,103
20243203,43
20242209,144
20242056,135
20242130,168
20243109,48
20243010,35
20243181,76
20246018,169
20241071,170
20241186,104
20243078,27
20241223,15
20241221,138
20241143,21
20243242,78
20242189,171
20242170,172
20243043,106
20241140,173
20244063,174
20241131,175
20242172,176
20241111,138
20242055,150
20241017,16
20244067,177
20246024,178
20241254,74
20243011,116
20246011,179
20242177,155
20241127,4
20241210,38
20242132,144
20242184,151
20241253,180
20243024,106
20242224,158
20243031,81
20242069,150
20243156,76
20242251,181
20244034,121
20242090,69
20243231,60
20242194,182
20243142,154
20242043,164
20243124,24
20244007,183
20242060,184
20243104,25
20244041,32
20246026,185
20243021,103
20242155,186
20242032,187
20241285,20
20244066,6
20242064,188
20242164,69
20244035,26
20243018,27
20242086,83
20243217,48
20243251,116
20243058,103
20244046,26
20243085,75
20244039,47
20243240,24
20246002,189
20242099,190
20243063,27
20241176,15
20247022,191
20241086,66
20241224,66
20241265,44
20241202,175
20246023,169
20241293,40
20241299,192
20244078,193
20243164,81
20242201,194
20241307,104
20242074,136
20241243,84
20247034,195
20241260,196
20243004,167
20246014,197
20242024,198
20243169,116
20243081,56
20242169,199
20241110,42
20241082,200
20241159,88
20246022,139
20241229,94
20242026,95
20242268,111
20242238,201
20242122,161
20241046,91
20243192,116
20241032,202
20241031,203
20243254,106
20243133,35
20241203,19
20243118,58
20243173,60
20243199,81
20244003,65
20241298,141
20242112,204
20243092,31
20243042,58
20244005,205
20243178,53
20244050,157
20241208,146
20242259,77
20242212,206
20243019,41
20241036,74
20242226,72
20247007,207
20243074,106
20241003,34
20241277,165
20241249,152
20242020,208
20242108,132
20243120,31
20242187,168
20243116,48
20242133,158
20241092,37
20242121,72
20243214,41
20241118,36
20243157,58
20241190,39
20241097,91
20242265,186
20241250,166
20242200,68
20242234,190
20242048,176
20242003,144
20243252,53
20243061,41
20242162,206
20244071,183
20241047,209
20241205,115
20241024,37
20242096,126
20242240,208
20243139,58
